max(u),Time
298.15,0
325.453,120
332.789,240
337.019,360
340.633,480
343.957,600
346.965,720
349.846,840
352.385,960
354.798,1080
356.931,1200
358.94,1320
360.764,1440
362.553,1560
364.429,1680
366.299,1800
368.111,1920
369.855,2040
371.639,2160
373.718,2280
376.418,2400
380.133,2520
384.68,2640
389.894,2760
395.626,2880
401.682,3000
407.912,3120
414.227,3240
420.582,3360
426.956,3480
433.34,3600
