max(u),Time
298.15,0
317.101,60
323.911,120
328.637,180
331.354,240
333.415,300
335.379,360
337.137,420
338.658,480
340,540
341.24,600
342.442,660
343.635,720
344.822,780
345.999,840
347.163,900
348.318,960
349.469,1020
350.615,1080
351.75,1140
352.861,1200
353.942,1260
354.989,1320
356.004,1380
356.992,1440
357.967,1500
358.958,1560
359.978,1620
361.009,1680
362.035,1740
363.05,1800
364.053,1860
365.044,1920
366.026,1980
367.006,2040
368.003,2100
369.047,2160
370.171,2220
371.406,2280
372.76,2340
374.224,2400
375.8,2460
377.538,2520
379.496,2580
381.675,2640
384.048,2700
386.594,2760
389.302,2820
392.151,2880
395.111,2940
398.151,3000
401.245,3060
404.375,3120
407.528,3180
410.696,3240
413.874,3300
417.059,3360
420.247,3420
423.438,3480
426.632,3540
429.826,3600
433.021,3660
436.217,3720
439.414,3780
442.61,3840
445.807,3900
449.005,3960
452.202,4020
455.4,4080
458.597,4140
461.795,4200
464.993,4260
468.19,4320
471.388,4380
474.586,4440
477.784,4500
480.982,4560
484.18,4620
487.378,4680
490.575,4740
493.773,4800
496.971,4860
500.169,4920
503.367,4980
506.565,5040
509.763,5100
512.961,5160
516.159,5220
519.357,5280
522.555,5340
525.753,5400
528.951,5460
532.149,5520
535.347,5580
538.545,5640
541.743,5700
544.941,5760
548.139,5820
551.337,5880
554.535,5940
557.733,6000
560.931,6060
564.128,6120
567.326,6180
570.524,6240
573.722,6300
576.92,6360
580.118,6420
583.316,6480
586.514,6540
589.712,6600
592.91,6660
596.108,6720
599.306,6780
602.504,6840
605.702,6900
608.9,6960
612.098,7020
615.296,7080
618.494,7140
621.692,7200
