max(u),Time
298.15,0
322.75,60
329.913,120
332.608,180
334.859,240
336.963,300
339.211,360
341.513,420
343.662,480
345.659,540
347.531,600
349.292,660
350.954,720
352.525,780
354.012,840
355.42,900
356.758,960
358.031,1020
359.245,1080
360.407,1140
361.524,1200
362.606,1260
363.669,1320
364.753,1380
365.916,1440
367.122,1500
368.321,1560
369.496,1620
370.645,1680
371.769,1740
372.868,1800
373.943,1860
374.998,1920
376.037,1980
377.064,2040
378.084,2100
379.102,2160
380.121,2220
381.145,2280
382.197,2340
383.356,2400
384.745,2460
386.446,2520
388.432,2580
390.641,2640
393.004,2700
395.481,2760
398.058,2820
400.749,2880
403.566,2940
406.498,3000
409.516,3060
412.6,3120
415.723,3180
418.87,3240
422.033,3300
425.206,3360
428.387,3420
431.572,3480
434.76,3540
437.95,3600
441.142,3660
444.336,3720
447.53,3780
450.726,3840
453.921,3900
457.118,3960
460.314,4020
463.511,4080
466.708,4140
469.905,4200
473.103,4260
476.3,4320
479.498,4380
482.696,4440
485.893,4500
489.091,4560
492.289,4620
495.487,4680
498.685,4740
501.882,4800
505.08,4860
508.278,4920
511.476,4980
514.674,5040
517.872,5100
521.07,5160
524.268,5220
527.466,5280
530.664,5340
533.862,5400
537.06,5460
540.258,5520
543.456,5580
546.654,5640
549.852,5700
553.05,5760
556.248,5820
559.446,5880
562.643,5940
565.841,6000
569.039,6060
572.237,6120
575.435,6180
578.633,6240
581.831,6300
585.029,6360
588.227,6420
591.425,6480
594.623,6540
597.821,6600
601.019,6660
604.217,6720
607.415,6780
610.613,6840
613.811,6900
617.009,6960
620.207,7020
623.405,7080
626.603,7140
629.801,7200
