max(u),Time
298.15,0
320.493,120
328.78,240
333.419,360
337.056,480
339.865,600
341.97,720
343.674,840
345.203,960
346.699,1080
348.215,1200
349.764,1320
351.35,1440
352.966,1560
354.597,1680
356.221,1800
357.83,1920
359.473,2040
361.487,2160
364.258,2280
367.665,2400
371.584,2520
376.187,2640
381.574,2760
387.487,2880
393.67,3000
399.976,3120
406.335,3240
412.715,3360
419.105,3480
425.499,3600
