max(u),Time
298.15,0
315.716,60
321.51,120
325.721,180
329.188,240
331.453,300
333.415,360
335.352,420
337.126,480
338.658,540
339.964,600
341.088,660
342.074,720
342.96,780
343.777,840
344.554,900
345.314,960
346.075,1020
346.847,1080
347.64,1140
348.46,1200
349.31,1260
350.185,1320
351.072,1380
351.959,1440
352.837,1500
353.706,1560
354.563,1620
355.409,1680
356.241,1740
357.057,1800
357.859,1860
358.649,1920
359.432,1980
360.221,2040
361.049,2100
361.992,2160
363.124,2220
364.478,2280
366.043,2340
367.785,2400
369.676,2460
371.698,2520
373.853,2580
376.195,2640
378.764,2700
381.541,2760
384.472,2820
387.508,2880
390.609,2940
393.751,3000
396.916,3060
400.094,3120
403.281,3180
406.473,3240
409.667,3300
412.863,3360
416.06,3420
419.257,3480
422.454,3540
425.652,3600
428.85,3660
432.048,3720
435.246,3780
438.444,3840
441.642,3900
444.84,3960
448.038,4020
451.236,4080
454.434,4140
457.632,4200
460.83,4260
464.027,4320
467.225,4380
470.423,4440
473.621,4500
476.819,4560
480.017,4620
483.215,4680
486.413,4740
489.611,4800
492.809,4860
496.007,4920
499.205,4980
502.403,5040
505.601,5100
508.799,5160
511.997,5220
515.195,5280
518.393,5340
521.591,5400
524.789,5460
527.987,5520
531.185,5580
534.383,5640
537.581,5700
540.779,5760
543.977,5820
547.175,5880
550.373,5940
553.571,6000
556.768,6060
559.966,6120
563.164,6180
566.362,6240
569.56,6300
572.758,6360
575.956,6420
579.154,6480
582.352,6540
585.55,6600
588.748,6660
591.946,6720
595.144,6780
598.342,6840
601.54,6900
604.738,6960
607.936,7020
611.134,7080
614.332,7140
617.53,7200
