max(u),Time
298.15,0
315.726,60
321.62,120
325.946,180
329.442,240
331.672,300
333.658,360
335.597,420
337.345,480
338.842,540
340.111,600
341.201,660
342.153,720
343.004,780
343.78,840
344.508,900
345.212,960
345.924,1020
346.682,1080
347.526,1140
348.483,1200
349.543,1260
350.664,1320
351.787,1380
352.869,1440
353.901,1500
354.885,1560
355.828,1620
356.734,1680
357.61,1740
358.46,1800
359.288,1860
360.101,1920
360.905,1980
361.717,2040
362.586,2100
363.604,2160
364.833,2220
366.264,2280
367.86,2340
369.586,2400
371.422,2460
373.358,2520
375.401,2580
377.573,2640
379.942,2700
382.534,2760
385.32,2820
388.25,2880
391.279,2940
394.372,3000
397.505,3060
400.664,3120
403.838,3180
407.022,3240
410.211,3300
413.404,3360
416.598,3420
419.794,3480
422.991,3540
426.189,3600
429.386,3660
432.584,3720
435.782,3780
438.98,3840
442.177,3900
445.375,3960
448.573,4020
451.771,4080
454.969,4140
458.167,4200
461.365,4260
464.563,4320
467.761,4380
470.959,4440
474.157,4500
477.355,4560
480.553,4620
483.751,4680
486.949,4740
490.147,4800
493.345,4860
496.543,4920
499.741,4980
502.939,5040
506.137,5100
509.335,5160
512.533,5220
515.731,5280
518.929,5340
522.127,5400
525.324,5460
528.522,5520
531.72,5580
534.918,5640
538.116,5700
541.314,5760
544.512,5820
547.71,5880
550.908,5940
554.106,6000
557.304,6060
560.502,6120
563.7,6180
566.898,6240
570.096,6300
573.294,6360
576.492,6420
579.69,6480
582.888,6540
586.086,6600
589.284,6660
592.482,6720
595.68,6780
598.878,6840
602.076,6900
605.274,6960
608.472,7020
611.67,7080
614.868,7140
618.066,7200
